Date,Title,Comment,Authors,ISBN,Status
01/05/2023,Il mondo senza di noi,interessante.,"Alan Weisman, N. Gobetti",9788806236113,matched
02/05/2023,La sola colpa di essere nati,,"Gherardo Colombo, Liliana Segre",9788811003496,matched
09/05/2023,L'ultima tentazione,bello!,,,unmatched
14/05/2023,Chi e' dunque l'altro,bof.,,,unmatched
21/05/2023,Perche' il vetro e' trasparente,complesso ma molto interessante.,,,unmatched
26/05/2023,Shape,"carino, ma poco di nuovo.",Jordan Ellenberg,9780141991511,matched
27/05/2023,Se i gatti scomparissero dal mondo,bof.,"Genki Kawamura, A. Specchio",9788806245702,matched
03/06/2023,Perche' oggi non e' possibile una rivoluzione,"spunti interessanti, ma bof.",,,unmatched
12/06/2023,Perche' l'intelligenza umana batte ancora gli algoritmi,interessante.,"Gerd Gigerenzer, Riccardo Mazzeo",9788832855029,matched
16/06/2023,I numeri non mentono,carino.,,,unmatched
22/06/2023,Range,molto interessante.,,,unmatched
26/06/2023,Le sfide di Marte,molto interessante.,Paolo Ferri,9788832855289,matched
28/06/2023,Eleanor oliphant sta benissimo,molto bello e commovente.,"Gail Honeyman, Stefano Beretta",9788811007715,matched
03/07/2023,La tirannia del merito,molto interessante.,Sandel,9788807897719,matched
05/07/2023,Il fiume della vita,bello.,Farmer Philip Jose',,matched
07/07/2023,Alle sorgenti del fiume,bello.,Farmer Philip Jose',,matched
12/07/2023,Il grande disegno,comincia a diventare un po' prolisso.,Farmer Philip Jose',,matched
15/07/2023,Il labirinito magico,,,,unmatched
16/07/2023,Gli dei del fiume,carino.,Farmer Philip Jose',,matched
17/07/2023,Solo bagaglio a mano,carino.,Gabriele Romagnoli,9788858822456,matched
19/07/2023,Storia del tempo,interessante ma me lo immaginavo diverso.,,,unmatched
22/07/2023,Storia di Tonle e L'anno della vittoria,bello.,,,unmatched
24/07/2023,Nel paese degli algoritmi,a tratti interessante.,"Aurelie Jean, Elena Dal Pra",9788854521391,matched
